name	Active_1	CR_1	Active_2	Active_3	CR_2	Active_4	CR_3	CR_4	CR_5	Active_5	Active_6	CR_6	Active_7	Active_8	CR_7	CR_8	Active_9	CR_9	CR_10	Healthy_1	Healthy_2	Healthy_3	Healthy_4	Healthy_5	Healthy_6	Healthy_7	Healthy_8	Healthy_9
hsa-miR-138-5p	0	2.5	0	0	2	0	2.5	0	0.5	0.5	0.5	0.5	2.5	0.5	1.5	1	2	0	1	0	0	0	1	0	3	1.5	0	0
hsa-miR-139-3p	22	13	42	3	7	1	2	15	8	51	33	6	73	4	8	9	49	1	3	6	4	9	0	13	14	2	3	3
hsa-miR-139-5p	122	118	140	9	12	15	61	61	208	217	321	28	325	24	21	48	137	11	28	55	96	44	19	84	74	79	24	45
hsa-miR-140-3p	3114	1739	2016	258	268	336	570	1215	2532	3940	2038	451	5039	853	303	1482	9027	340	509	1523	1342	1899	1099	2692	3000	1731	757	1181
hsa-miR-140-5p	19	27	21	2	2	7	3	18	36	53	56	2	45	10	1	31	126	0	4	18	16	25	8	36	41	40	9	19
hsa-miR-141-3p	2	5	5	0	1	0	4	2	20	13	10	9	12	0	7	4	18	4	3	3	8	7	3	13	12	9	5	3
hsa-miR-141-5p	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-142-3p	858	861	1434	144	79	160	416	294	1082	1610	1134	114	1348	231	150	495	3140	154	117	565	615	625	536	1123	1767	805	349	532
hsa-miR-142-5p	13489	10314	10023	1534	867	2018	4118	3709	18906	16892	10531	1539	18851	3361	2031	6210	34948	1991	1707	8505	10463	9966	6058	15007	23984	16371	5572	8107
hsa-miR-143-3p	6856	2016	3402	532	335	747	1122	2096	2505	5857	3352	662	17472	1799	705	3567	7423	412	516	2389	506	1913	1392	1155	5515	2409	918	1153
hsa-miR-143-5p	7	0	3	0	0	1	1	0	6	2	10	0	23	1	0	0	4	0	2	4	10	5	2	0	12	3	1	2
hsa-miR-144-3p	779	1006	453	289	76	79	461	388	2596	1256	446	394	645	248	656	927	571	509	352	289	1176	246	460	432	946	936	335	372
hsa-miR-144-5p	910	1409	402	63	57	111	637	248	2550	968	777	239	847	175	329	583	393	197	212	136	598	149	256	211	434	499	171	227
hsa-miR-145-3p	5	1	10	0	2	2	3	0	5	10	11	3	18	6	0	0	6	0	0	3	1	6	3	6	5	8	1	9
hsa-miR-145-5p	28	26	44	1	6	5	34	25	27	134	117	4	150	26	13	64	78	3	12	399	380	621	279	974	1468	833	180	372
hsa-miR-1468-5p	41	23	37	0	5	7	15	8	21	39	9	1	57	4	0	14	47	1	2	15	13	25	13	16	49	17	5	11
hsa-miR-1469	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-146a-3p	0	1	1	0	0	0	0	1	3	20	26	2	4	0	0	0	1	0	0	8	15	21	8	18	1	0	2	2
hsa-miR-146a-5p	7935	2723	5634.5	277.5	234	695.5	684	1332.5	2054.5	2879.5	2385	260	12674.5	930.5	378.5	995	7311.5	300	290	1251	1179.5	1517	1033.5	1540	2462.5	1406.5	692	802.5
hsa-miR-146b-3p	66	31	50	11	10	1	25	23	28	106	83	13	229	48	15	19	215	2	12	22	25	34	15	32	72	28	18	15
hsa-miR-146b-5p	2255	969	1644.5	170.5	86	176.5	193	1015.5	998.5	1243.5	862	126	3172.5	322.5	158.5	465	2087.5	131	185	286	232.5	276	248.5	365	554.5	337.5	120	248.5
hsa-miR-147b-3p	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	5	0	1
hsa-miR-148a-3p	8022	4798	9419	794.5	622	713	1582	2915.5	3999	19704.5	11317	1139.5	18137.5	3214	1423	4683	31057.5	1287	1230.5	2238.5	2536	2850	1566	4803.5	6242	2584.5	1412	1479
hsa-miR-148a-5p	137	78	194	12	3	6	20	32	50	239	171	23	436	73	32	72	502	22	21	60	46	67	32	91	110	33	38	23
hsa-miR-148b-3p	6694	3760	4716	170.5	320	602	1233	889.5	2318	6069.5	4020	386.5	9105.5	1205	447	1590	11789.5	499	500.5	2479.5	2687	2519.5	2060	3646.5	6431	2560.5	1072	1933
hsa-miR-148b-5p	297	140	120	21	9	25	56	65	131	244	165	27	310	70	3	104	397	24	17	108	163	129	114	221	364	123	72	113
hsa-miR-149-3p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-149-5p	3	1	3	2	1	0	2	2	0	6	6	0	12	0	0	0	11	0	0	1	0	2	6	9	4	0	3	1
hsa-miR-150-3p	58	23	11	1	1	7	12	63	152	16	5	0	35	16	1	7	17	0	55	12	15	14	13	7	23	13	3	8
hsa-miR-150-5p	1968	4420	969	507	1036	624	2209	4255	29411	2071	837	2782	2844	2487	1307	2621	1465	1352	3165	8081	20183	9319	8445	8900	27390	26722	9969	12978
hsa-miR-151a-3p	17922	8808	12955	1520	1865	1596	3406	5842	8483	22290	9770	2135	25408	5242	1328	7991	56828	1483	3042	5479	4377	7373	3800	10160	12793	5421	2377	4102
hsa-miR-151a-5p	14738	6753	11653	535.5	846	1605.5	3656	2702.5	5383	17013.5	9674	904.5	33459.5	3800	1382.5	3353.5	32185	982.5	1324.5	5244.5	5378.5	8854	3987	11657	15987.5	6247.33	2583	4075
hsa-miR-151b	255	93	134	39.5	37	14.5	42	84.5	138	163.5	101	51.5	282.5	56	37.5	64.5	280	57.5	72.5	126	121.5	189	96	277	380	141.33	75	112
hsa-miR-152-3p	212	92	164	13	17	25	45	26	85	257	168	26	528	63	21	55	543	8	20	41	54	78.5	44	111	124	62	31	32
hsa-miR-152-5p	2	4	3	0	0	0	0	0	0	3	10	0	5	3	0	1	19	0	1	0	3	1	0	3	2	0	0	0
hsa-miR-153-3p	1	1	0	0.5	0	1.5	0	0.5	0	0	0.5	1	1	0	0.5	0	1	0	0	0	2	0.5	0.5	0	2	0	0	0
hsa-miR-153-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0
hsa-miR-1537-3p	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1537-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-1538	44	32	48	5	4	2	9	14	12	79	65	4	196	11	0	12	159	13	16	23	15	35	14	30	26	14	15	6
hsa-miR-154-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-154-5p	3	2	5	1	2	1	0	0	1	20	16	0	6	0	0	0	0	0	0	1	8	1	0	5	9	6	3	0
hsa-miR-155-5p	492	415	565	17	42	78	218	168	670	484	515	79	1533	184	80	145	956	97	48	206	211	340	136	243	556	341	124	157
hsa-miR-1587	2	0	3	0	0	0	3.5	0	0	6	1.5	0	5.5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-15a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	1	1	1	0	0
hsa-miR-15a-5p	2607	2581	1440	290	170	215	615	505	4814	1970	1058	309	2118	439	839	882	2346	660	458	1049	2555	1106	1065	1471	3146	3518	1111	1100
hsa-miR-15b-3p	31	43	53	2	0	2	31	18	49	32	44	18	51	4	13	13	42	3	4	21	35	15	20	23	66	46	14	7
hsa-miR-15b-5p	534	451	422	18	26	39	157	60	354	409	612	27	1045	61	98	112	923	47	15	789	1189	1149	655	1528	3234	1682	480	796
hsa-miR-16-1-3p	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
hsa-miR-16-2-3p	521	526	235	64	36	61	173	91	718	478	231	80	441	78	168	206	420	129	78	173	463	184	194	262	562	505	153	229
hsa-miR-16-5p	12550	10824.5	9430.5	1029	782.5	1546	3810	3037.5	16794.5	13341	10282.5	1592	16391	2348.5	3007.5	4896	21374.5	2162.5	1603	5210.5	8919.33	6079.67	3883.83	7523.33	13716	12008	4168.33	4930.5
hsa-miR-17-3p	103	44	91	17	17	7	22	40	85	140	42	10	93	34	5	52	269	6	6	15	38	34	29	42	82	53	22	19
hsa-miR-17-5p	1840	1278.83	1497.5	66	85	226	376	470	932.5	2413	1684.83	182	4132.83	377.5	194	706	6497.17	253.5	213	726	842.67	1002	546	1560.67	2182.17	930	342.5	678.17
hsa-miR-181a-2-3p	639	320	427	12	22	56	137	106	323	426	264	50	1115	104	30	102	925	22	59	182	162	309	198	247	477	242	91	146
hsa-miR-181a-3p	400.5	250	198	29	43.5	29	137	164.5	256	548	290	36	764	127	76	188	1457.5	22	114.5	138	67	185	118	118	434	179	29.5	64
hsa-miR-181a-5p	12516.5	5782.5	4335.5	1233	794.5	1108	1864.5	3704	9409.25	11002	5096	1659.5	15283	3374	1039	4551	32892.5	1210.5	2790.25	5336.5	3043.5	7852	5265	5590.5	22970	6979.75	1749	2553.5
hsa-miR-181b-2-3p	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0
hsa-miR-181b-3p	0	0	0	2	0	0	0	0	0	3	0	0	12	0	0	0	9	0	7	1	2	4	0	0	1	1	0	0
hsa-miR-181b-5p	811	451	434	99	68.5	74.5	203.5	445	789.75	990.5	619	121.5	1585.83	292	131	314	2048	108	204.75	245.33	176	562.83	289	274.5	1018.33	350.58	145.83	117.17
hsa-miR-181c-3p	278.5	64	125	23	19.5	27	46	23.5	68	215	53	21	385	41	8	73	587.5	8	53.5	62	47	99	68	147	209	87	39.5	75
hsa-miR-181c-5p	665	242	226	35	34	94	59	86	271	350	121	42	474	146	23	137	1033	34	67	177	205	252	180	387	671	271	95	173
hsa-miR-181d-3p	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-181d-5p	129	90	104	2	13	30	39	39	52	172	88	16	458.33	71	14	35	383	10	20	77.33	68	139.33	62	153	238.33	89.33	48.33	47.67
hsa-miR-182-3p	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-182-5p	2748	2050	1079	154	110	221	541	211	1777	4098	1767	768	2390	406	737	962	2064	373	376	705	768	701	504	598	1557	904	378	440
hsa-miR-1827	0	0	0	0	0	0	0	0	1.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0
hsa-miR-183-3p	1	1	4	2	2	0	0	0	1	0	6	0	3	0	0	5	0	0	1	4	0	1	0	0	0	0	0	0
hsa-miR-183-5p	41	38	27	6	4	3	34	11	82	121	57	40	65	17	10	80	38	12	11	17	34	14	7	10	23	32	22	17
hsa-miR-184	1	7	0	0	1	0	1	8	24	2	3	7	2	5	0	5	8	0	6	0	0	1	0	0	0	0	0	0
hsa-miR-1843	402	196	242	19	22	24	49	81	107	371	193	13	677	52	20	113	804	28	40	105	74	197	82	214	308	112	59	91
hsa-miR-185-3p	137	83	101	8	16	19	39	58	33	301	103	11	334	47	8	103	618	10	25	38	29	54	27	81	108	37	16	29
hsa-miR-185-5p	58	6	88	3	3	2	12	11	38	70	73	6	197	6	4	23	258	7	5	58	63.5	85	44	131	164	54	22	29
hsa-miR-186-3p	2	0	3	0	0	0	0	0	8	6	1	0	1	0	0	2	5	0	0	0	2	3	1	0	12	8	2	2
hsa-miR-186-5p	4835	3180	4292	612	452	639	1312	1775	3488	6222	4189	524	7119	1128	430	2455	13455	484	673	2084	2229	2769	2000	4046	6569	2691	1046	1792
hsa-miR-187-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	4	0	0	0
hsa-miR-188-3p	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-188-5p	4	0	4	0	0	0	0	20	8	14	4	5	13	8	5	3	19	0	3	0	4	3	2	4	4	11	0	3
hsa-miR-18a-3p	44	15	47	7	4	14	16	11	43	90	60	11	103	26	19	40	126	6	30	24	27.5	50.5	23.5	40.5	77	39	31	23
hsa-miR-18a-5p	114	67	94.5	9.5	6	12	57	38	85	129	142.5	35	183	15	15	70	280.5	7.5	7.5	45	57.5	55.5	34	80	110	63	21	48
hsa-miR-18b-3p	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	4.5	1.5	0.5	1.5	1	4	0	0
hsa-miR-18b-5p	7	1	3.5	0.5	0	0	0	0	5	11	0.5	6	1	0	1	11	10.5	0.5	0.5	0	3.5	1.5	0	1	1	1	0	0
hsa-miR-1908-3p	70	15	21	6	5	8	15	18	0	51	65	9	81	4	18	19	187	7	6	22	4	16	11	25	29	19	15	8
hsa-miR-1908-5p	257	64	407	6	13	11	35	34	17	328	232	3	1152	24	8	28	1577	7	15	77	26	164	21	205	122	24	48	12
hsa-miR-1909-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1909-5p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
hsa-miR-190a-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	1	2	0	2
hsa-miR-190a-5p	59	12	42	0	1	2	3	0	2	62	10	0	50	5	1	4	98	0	6	24	10	42	26	11	75	16	17	7
hsa-miR-190b-5p	8	0	9	0	0	0	2	10	0	3	14	1	21	1	1	1	12	1	0	2	1	4	3	4	0	5	2	4
hsa-miR-191-3p	136	70	89	7	14	5	26	58	40	194	80	24	235	32	1	30	449	41	19	56	42	59	17	82	103	48	18	37
hsa-miR-191-5p	79133	37483	55323	5359	6383	8224	18418	23856	34434	105652	48499	8325	112216	21568	6350	29635	217196	5814	10545	15423	16800	27320	13695	32956	45406	20084	10016	13378
hsa-miR-1910-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1910-5p	0	0	0	0	1	0	0	8	2	7	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1911-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1913	1	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
hsa-miR-1914-3p	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-1914-5p	2	0	0	0	0	0	0	2	0	3	4	0	0	6	0	0	5	0	0	0	3	0	0	2	2	0	0	0
hsa-miR-1915-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1915-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-192-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-192-5p	657	533	415	121	57.5	58	197.5	217	1507	1018	505	200	812	173	149	572	1280	138	140	234	412	308	224	421	661.5	434.5	149	319
hsa-miR-193a-3p	0	4	2	0	1	0	2	9	12	0	2	1	6	4	0	4	6	0	0	3	4	5	0	2	10	6	2	0
hsa-miR-193a-5p	36	4	46	5	2	0	18	6	3	25	73	2	166	9	1	15	90	1	7	11	13	20	6	28	25	14	7	1
hsa-miR-193b-3p	1	0	0	0	0	0	1	2	20	0	2	4	0	0	2	2	2	0	7	0	0	1	0	0	3	4	0	0
hsa-miR-193b-5p	0	1	2	4	2	0	0	6	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0
hsa-miR-194-3p	7	1	2	0	0	0	0	0	0	3	0	0	5	0	0	0	13	0	0	0	0	2	2	3	3	2	0	1
hsa-miR-194-5p	34.5	30.5	17.5	4	7	2.5	10	13.5	56	75.5	32	17.5	45	10.5	10	27	70	4.5	9	8	10.5	9.5	6	7.5	15	9.5	7.5	5
hsa-miR-195-3p	3	5	10	0	0	1	3	0	10	14	3	0	11	9	2	14	7	0	5	5	6	2	1	1	2	1	2	3
hsa-miR-195-5p	11	23	18	2	4	1	3	7	21	31	55	1	31	13	1	16	33	1	1	16	60.33	19.67	16.33	39.33	51	68	9.33	20
hsa-miR-196a-5p	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	0	3	0	1	1.5	1.5	1.5	3	3	0	1	1
hsa-miR-196b-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-196b-5p	52	30	23	2	11	8	13	14	16	50	33	2	51	16	5	8	124	0	3	25	18	31	14	30	61	18	12	23
hsa-miR-197-3p	831	379	767	16	37	56	119	212	161	732	793	51	1956	117	86	112	779	14	21	371	426	631	185	370	820	574	263	225
hsa-miR-197-5p	20	3	52	1	10	0	7	4	11	43	16	2	54	10	0	6	51	0	1	11	1	10	9	19	10	9	10	2
hsa-miR-1972	0	0	0.5	0.5	0	0	0	0.5	0.5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1973	0	0	1	0	0	0	3	0	0	8	0	0	9	3	0	0	0	0	0	0	0	1	3	1	1	0	0	1
hsa-miR-1976	3	2	0	2	1	0	0	5	0	1	0	6	2	1	10	0	0	0	0	2	1	3	0	0	0	6	2	1
hsa-miR-199a-3p	2372.67	1494	2319.67	123.17	104.33	238.33	509	307.67	897.33	2688	2542.67	144	5856.33	420.17	179.67	515	5571	326.33	158.67	742.67	786.17	1222.83	674.83	1278.17	2458	1410	393.33	595.33
hsa-miR-199a-5p	228	110.5	179.17	26	30.5	17	31.5	66	55.5	297.5	107.5	32.5	171.5	33.5	8	49.5	598.5	14	14	47	40.5	94.5	44.5	86.5	144.5	87	20	42.5
hsa-miR-199b-3p	2296.17	1446	2277.67	123.17	103.83	228.33	485	306.67	885.33	2600	2442.67	139	5728.33	410.17	175.67	493.5	5417	313.33	155.67	706.67	766.17	1186.83	644.83	1241.17	2365.5	1362	384.33	577.83
hsa-miR-199b-5p	22	31	23.67	0	0	0	4	8	0	17	27	0	22	12	4	8	45	2	0	7	10	5	2	8	15	6	8	4
hsa-miR-19a-3p	60	156	74	16	2	15	61	30	115	119	154	14	89	9	12	116	209	28	15	85	152	138	105	203	365.33	267	82	127
hsa-miR-19a-5p	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	1	0	2	1	0	3
hsa-miR-19b-1-5p	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	2	0	0
hsa-miR-19b-2-5p	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
hsa-miR-19b-3p	112.5	233	114	26.5	8	21.5	91.5	40	187	190	196.5	20	110.5	23	24.5	175	350.5	25.5	22	114	226	151	160	258.5	448.33	279.5	75	150.5
hsa-miR-200a-3p	7	0	3	0	1	0	0	0	11	5	2	0	3	0	2	2	11	0	0	0	1	2	0	0	2	0	0	2
hsa-miR-200a-5p	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
hsa-miR-200b-3p	17	16	24	0	0	0	11	10	18	6	16	1	80	4	0	1	39	4	1	8	5	16	4	10	7	4	2	2
hsa-miR-200b-5p	0	2	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-200c-3p	16	4	6	1	1	0	5	0	5	10	8	1	48	4	5	1	48	3	1	1	9	6	3	13	9	4	0	3
hsa-miR-202-3p	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-203a-3p	18	48	25	22	23	19	582	20	182	7	197	66	287	131	1524	100	37	537	37	47	79	89	182	80	137	359	65	75
hsa-miR-203a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-203b-3p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-204-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-204-5p	77	50	26	1	6	13	47	7	102	110	20	15	100	30	34	23	103	16	14	35	30	12	27	55	103	47	21	20
hsa-miR-205-5p	0	3	4	0	0	0	22	8	7	1	9	4	4	20	53	13	2	14	0	1	1	1	5	3	1	9	7	1
hsa-miR-206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-208a-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-208b-3p	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-20a-3p	2	3	12	0	0	0	0	1	1	1	2	0	9	0	0	0	4	0	0	1	3	4	5	7	12	6	0	1
hsa-miR-20a-5p	980	598.33	1149.5	40	45	123	188	84	428	1186	941.33	99	2739.33	171.5	94	257	3762.67	106	75	501.5	446.67	781	370	1016.17	1490.67	594	217	318.67
hsa-miR-20b-3p	2	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
hsa-miR-20b-5p	38.17	46.33	35	1	10	11	31	7	50	41.5	54.33	4	170.33	7	9	29	165.17	2.5	8	11	18.33	17	11	23.83	44.83	14	5	19.33
hsa-miR-21-3p	1498	540	1013	235	135	109	209	679	610	2100	618	182	1578	434	74	599	5396	168	246	393	236	433	287	538	931	327	148	204
hsa-miR-21-5p	42574	30799	36866	2085	2172	5414	11739	7943	22999	47398	35525	2818	64439	9364	3981	12384	111785	5253	3743	14954	12994	17499	10124	18519	40074	17148	7459	9572
hsa-miR-210-3p	109	95	82	14	10	12	25	134	199	251	119	23	153	44	9	132	522	37	49	28	60	44	66	79	86	73	37	26
hsa-miR-210-5p	4	0	8	2	4	0	0	1	13	12	2	0	18	0	0	0	25	0	4	0	0	1	1	3	5	0	0	1
hsa-miR-211-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-211-5p	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	1	0	2	0	0	2	2	0	0
hsa-miR-2110	114	24	114	9	4	4	13	32	24	114	79	0	250	7	3	14	271	7	8	27	15	89	37	88	82	19	10	17
hsa-miR-2114-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-2115-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
hsa-miR-2116-3p	7	6	13	9	4	1	3	4	3	51	14	4	69	4	5	24	27	0	5	3	2	5	6	3	6	4	0	3
hsa-miR-2116-5p	0	0	2	0	0	1	0	0	0	2	0	0	5	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-212-3p	1	0	0	5	0	0	0	3	2	7	0	0	1	1	0	1	5	0	4	0	0	3	1	1	4	0	0	1
hsa-miR-212-5p	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
hsa-miR-214-3p	4	2	4	0	0	0	0	5	17	0	0	3	0	0	2	0	2	0	0	0	0	0	0	1	0	3	2	0
hsa-miR-214-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	5	0	1	0	0	0	0	0	0	0
hsa-miR-215-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-215-5p	3	3	17	2	0.5	1	7.5	1	4	28	59	0	33	1	10	20	11	6	9	1	1	3	0	1	5.5	7.5	2	2
hsa-miR-218-5p	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1.5	0	0	0
hsa-miR-219a-1-3p	6	2	0	0	0	0	2	1	3	11	0	0	2	1	7	3	10	1	0	0	2	2	4	3	6	6	3	3
hsa-miR-219a-2-3p	0	0	0	0	0	3	0	7	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219a-5p	0	2	1	2	0	3.5	0.5	0	0	0.5	3	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-219b-3p	0	0	0	0	0	0	0	0	0	5	0	0	2	1	0	0	2	0	2	0	1	0	0	2	0	0	0	0
hsa-miR-219b-5p	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-22-3p	135842	77472	122451	11534	8173	13704	28699	50886	91294	181652	102403	15038	180655	32413	14355	63989	426828	15510	18936	29970	36671	41808	27052	57410	84260	51214	19484	25392
hsa-miR-22-5p	37	14	15	3	0	3	2	10	4	38	20	0	78	2	0	10	63	1	4	31	34	22	23	48	84	38	13	15
hsa-miR-221-3p	6750	3407	9226	272	315	658	1247	1255	2059	9554	12235	510	22385	1278	470	2220	27347	527	653	2002	1591	4573	2022	4408	6113	2132	1300	1166
hsa-miR-221-5p	70	66	79	2	3	17	30	24	49	138	149	5	111	17	11	43	226	12	11	90	57	91	70	86	204	67	51	39
hsa-miR-222-3p	12850	7029	10570	819	808	1227	2857	5526	7015	27472	18398	1384	37342	4535	1427	6893	33838	994	1603	4805	2666	10847	4876	8051	10460	4393	2723	2308
hsa-miR-222-5p	2	4	2	0	0	0	0	1	2	0	4	0	3	0	0	2	9	0	13	0	0	1	1	1	0	0	1	3
hsa-miR-223-3p	1810	1207	2128	211	103	266	657	506	936	2043	1907	139	3678	511	231	602	3474	280	171	1310	2032	2048	1177	3496	5331	2340	791	1376
hsa-miR-223-5p	201	155	246	4	18	33	59	75	66	386	238	13	525	70	26	106	652	34	41	92	71	236	67	164	276	99	51	60
hsa-miR-224-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0
hsa-miR-224-5p	375	307	369	5	14	18	22	41	131	125	276	27	451	117	7	40	718	28	33	54	189	179	184	287	541	306	29	88
hsa-miR-2276-3p	4	2	1	0	0	0	0	0	4	13	8	1	10	0	0	0	7	0	0	1	1	1	0	3	3	1	2	0
hsa-miR-2276-5p	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-2277-3p	1	0	5	2	4	0	0	3	0	9	4	4	1	2	0	3	24	0	0	2	2	1	0	3	4	3	1	1
hsa-miR-2277-5p	13	13	8	1	5	2	14	22	35	34	9	0	43	8	0	19	60	2	3	13	9	14	2	6	22	11	5	5
hsa-miR-2278	1	0	0	0	0	0	0	0	0	0	4	0	2	0	0	1	5	0	0	0	1	0	0	2	3	1	0	0
hsa-miR-2355-3p	10	0	14	0	0	0	0	3	0	14	8	0	24	0	0	7	21	0	0	1	3	4	2	2	6	12	1	0
hsa-miR-2355-5p	36	24	19	8	3	6	6	13	20	39	30	3	62	27	3	20	130	5	3	18	16	18	7	34	50	26	9	20
