	Cancer_011	Cancer_012	Cancer_013	Cancer_014	Cancer_015	Cancer_016	Cancer_017	Cancer_019	Cancer_020	Cancer_022	Cancer_023	Cancer_024	Cancer_025	Cancer_026	Cancer_027	Cancer_028	Cancer_029	Cancer_030	Cancer_031	Cancer_032	Cancer_033	Cancer_034	Cancer_035	Cancer_036	Cancer_037	Cancer_038	Cancer_039	Cancer_040	Cancer_041	Cancer_042	Cancer_043	Cancer_044	Cancer_045	Cancer_046	Cancer_047	Cancer_048	Healthy_001	Healthy_002	Healthy_003	Healthy_004	Healthy_005	Healthy_006	Healthy_007	Healthy_008	Healthy_010
hsa-miR-223-5p	264	272	60	189	672	36	124	136	222	201	155	246	4	18	2	37	15	3	74	33	59	75	66	386	238	13	525	70	26	106	652	34	41	115	82	48	92	71	236	67	164	276	99	51	60
hsa-miR-224-3p	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0
hsa-miR-224-5p	282	454	116	96	388	33	72	97	170	375	307	369	5	14	20	43	11	6	8	18	22	41	131	125	276	27	451	117	7	40	718	28	33	91	41	46	54	189	179	184	287	541	306	29	88
hsa-miR-2276-3p	2	5	2	1	6	1	3	1	1	4	2	1	0	0	0	0	0	0	0	0	0	0	4	13	8	1	10	0	0	0	7	0	0	7	0	0	1	1	1	0	3	3	1	2	0
hsa-miR-2276-5p	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-2277-3p	6	2	0	0	8	0	3	0	0	1	0	5	2	4	0	3	0	0	2	0	0	3	0	9	4	4	1	2	0	3	24	0	0	0	9	5	2	2	1	0	3	4	3	1	1
hsa-miR-2277-5p	15	8	13	11	20	4	14	11	13	13	13	8	1	5	0	12	0	0	1	2	14	22	35	34	9	0	43	8	0	19	60	2	3	13	7	18	13	9	14	2	6	22	11	5	5
hsa-miR-2278	1	1	2	0	2	0	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	1	5	0	0	0	0	1	0	1	0	0	2	3	1	0	0
hsa-miR-2355-3p	4	9	4	9	13	1	4	6	3	10	0	14	0	0	0	3	2	0	0	0	0	3	0	14	8	0	24	0	0	7	21	0	0	4	1	0	1	3	4	2	2	6	12	1	0
hsa-miR-2355-5p	19	31	21	34	38	4	31	25	26	36	24	19	8	3	0	16	2	1	2	6	6	13	20	39	30	3	62	27	3	20	130	5	3	8	18	5	18	16	18	7	34	50	26	9	20
hsa-miR-2392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-23a-3p	1818.5	1802.5	1687	1069.5	2701	245	1106.5	986.5	1107.5	1083	794	1040.5	59.5	73	26	204.5	98.5	61	191	181	525.5	287.5	727.5	1188	1392	103	1897	297.5	194.5	371.5	2331.5	154.5	130.5	331.5	314	207.5	658	1122.5	1069	562.5	1805.5	2290.5	1368.5	470.5	698.5
hsa-miR-23a-5p	170	230	71	65	426	20	50	111	85	239	42	389	3	6	4	72	2	5	12	7	42	37	10	322	225	6	570	21	3	20	701	9	5	24	67	13	54	37	143	86	155	133	29	46	27
hsa-miR-23b-3p	1008.5	663.5	341	273	1016	87	346.5	378.5	467.5	570	277	360.5	38.5	38	17	120.5	57.5	30	112	71	198.5	127.5	331.5	708	571	60	1084	107.5	132.5	156.5	1646.5	72.5	79.5	145.5	133	129.5	325	498.5	497	224.5	594.5	996.5	358.5	135.5	222.5
hsa-miR-23b-5p	0	0	0	0	4	0	0	6	0	2	3	2	0	0	1	0	0	0	0	0	1	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
hsa-miR-23c	0	0	0	0.5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-24-1-5p	2	2	3	1	5	0	2	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	4	1	0	4	9	0	0	1
hsa-miR-24-2-5p	293	377	215	217	372	83	221	241	184	55	47	36	6	7	4	94	13	4	40	11	13	35	44	107	47	13	44	26	12	41	201	9	26	55	11	39	177	186	210	119	396	491	205	88	161
hsa-miR-24-3p	106	90.5	23.5	36.5	155.5	4.5	50.33	54.5	77.5	198	58.5	112	7.5	7.5	182.5	35.5	4.5	7.5	14	16	6.5	65.5	77.5	117	79	22	248	16	6.5	31	396	8.5	20	51.5	47.5	35.5	32.5	36	58.5	21.5	57.5	92.5	32.5	11.5	18
hsa-miR-2467-3p	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2467-5p	2	1	3	1	5	0	1	4	0	8	3	6	4	0	0	1	0	0	0	0	0	4	0	2	3	0	15	8	0	3	29	0	0	4	2	15	2	6	4	2	1	6	1	0	0
hsa-miR-25-3p	3775	3252	1983	1734	4757	592	5913	2564	2065	6734	4295	3806	640	531	215	1567	1258	893	1392	518	1313	1976	6042	8068	3413.33	1057.33	8971	1708	1237	2439	9811.67	871	1493	1971	1998	3142	2133	3182	2456	1765	2865	5199	3414	1514	1821
hsa-miR-25-5p	83	70	45	42	117	16	58	37	41	94	42	146	12	9	1	33	12	6	30	11	19	15	64	166	153	24	229	24	7	33	263	20	17	14	50	33	25	36	72	35	54	61	41	27	26
hsa-miR-2682-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26a-1-3p	6	5	1	0	4	0	2	3	3	0	1	6	1	1	0	0	0	0	1	0	5	0	0	4	3	0	3	0	0	0	14	0	0	12	3	0	3	2	2	0	2	11	2	0	3
hsa-miR-26a-2-3p	2	3	0	3	3	0	0	0	3	0	3	2	0	0	0	0	0	3	0	0	3	0	0	0	6	0	20	0	0	0	5	0	0	0	1	0	0	0	0	2	4	3	3	2	1
hsa-miR-26a-5p	43874.5	44690.5	19329	27025.5	49930.33	5028.5	26506	28247.83	22011.5	59706	35010.5	42719.5	2544.5	2896.5	1141	9830.5	2758	2240.5	6887	6496.5	14850.5	8349.33	26027	51379	40560.5	3613.5	90975.5	11648.5	4971	11762.5	100467	5106	4507.5	11118	11733	10299	19317.33	22020.5	25485.67	14180	37669.5	59607.5	27731.5	10961	18512.5
hsa-miR-26b-3p	463	385	139	179	565	54	181	197	174	146	126	115	1	10	8	54	8	5	30	18	38	28	97	141	132	9	281	38	3	49	355	13	27	64	46	60	146	158	223	100	272	506	223	66	117
hsa-miR-26b-5p	10245	13043	2406	5508	16098.83	1136	7079	7065.33	4797	12764	8625	13828	443	612	257	2027	632	421	1093	1806	4329	1689.33	5261	11161	16672	887	33796	1966	1686	2013	26328	1556	904	2503	2083	1665	4198.33	4244	5025.67	3275	6455	10761	6988	2307	3398
hsa-miR-27a-3p	2391	1863	1035.17	1738	2045.17	410.67	1533.33	1533.33	1862.17	1564	994.67	1090.33	313.33	102.83	61.33	542.83	192	180.33	532.17	223.17	594.17	924.33	2332.33	1641.67	1143.5	377	2087.5	569	523.17	840.33	3611.67	324.67	324.83	581.5	803.33	848.17	1043.67	1446.83	1730.67	835.5	2113.67	3580.67	2254.67	812.17	1107.83
hsa-miR-27a-5p	5	4	0	1	7	0	4	2	2	10	2	4	8	4	1	2	1	1	1	2	4	16	5	6	10	11	16	0	0	7	7	0	6	12	12	1	4	2	1	0	2	3	6	2	0
hsa-miR-27b-3p	9144	6423.5	2193.17	4797	8311.67	1094.67	4080.33	5544.33	5949.17	8925.5	5633.67	7061.33	798.33	603.83	391.33	2501.83	605	660.33	1648.17	1076.17	2590.17	2122.33	7219.33	9337.67	6678.5	1018	14132.5	2159	1468.17	2828.33	27214.17	1450.67	1419.83	2746.5	2543.33	2940.67	4178.17	5203.83	4978.67	2268	5560.67	10638.67	4939.67	1794.17	2865.83
hsa-miR-27b-5p	102	84	24	39	107	6	22	48	21	87	39	68	4	3	3	15	1	11	0	10	20	8	56	88	65	4	172	17	15	18	275	5	14	27	19	28	44	32	36	20	44	95	24	11	18
hsa-miR-28-3p	5840	7338	2367	4096	10255	857	3615	4008	3413	9154	4996	9142	618	625	228	2424	593	475	1245	958	2137	2462	5855	10624	6372	836	15229	2136	784	3534	23871	849	1137	2337	2653	2483	2884	2456	3902	2310	4808	7659	3402	1367	2307
hsa-miR-28-5p	978	1242.33	399	864.5	1378	151	733	696	658	1400	785	1404	56	107	21	193	75	61	140	149	388	275	755	1349	1212	150	3063	332	101	350	2677	158	130	276	249	214	562.5	488	523	359	730	1377.5	715.33	236	338
hsa-miR-2861	1	3	2	0	2	0	0	0	0	4	0	4	6	0	0	0	0	2	0	0	0	0	4	11	2	0	7	0	0	0	6	0	2	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-296-3p	2	0	1	0	9	0	2	0	3	4	0	8	0	3	3	6	0	5	3	0	1	2	3	18	3	4	8	13	0	1	21	0	2	2	0	1	0	1	2	1	0	1	3	0	0
hsa-miR-296-5p	4	1	7	6	8	1	4	5	6	3	5	3	0	1	0	1	2	10	4	0	0	5	9	5	11	0	18	5	0	8	10	0	0	0	1	3	1	3	5	5	5	1	2	5	1
hsa-miR-297	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-299-3p	33	9	0	10	26	0	0	12	8	21	2	18	0	1	0	5	1	0	0	0	0	28	0	51	26	0	48	1	1	8	9	0	0	16	9	18	6	1	7	5	28	20	8	4	4
hsa-miR-299-5p	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	0
hsa-miR-29a-3p	471.33	148.5	123.5	182	237.5	44	290.5	180.5	258	404	317	197	62	54	27	148	51	59	128	47	118	165	711	721	400	99	467	140	46	213	842.5	63	69	156	207	242	121.5	245	123.5	134	175.5	427.5	306.5	97	158.5
hsa-miR-29a-5p	2	2	1	0	6	0	0	2	2	0	2	2	0	0	1	0	0	0	0	0	0	2	0	9	0	0	2	3	2	0	7	0	0	0	3	0	1	7	0	0	2	4	1	0	4
hsa-miR-29b-1-5p	6	1	1	1	9	8	5	0	5	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	4	0	0	0	6	0	0	0	0	0	1	0	3	0	0	6	0	0	0
hsa-miR-29b-2-5p	9	8	9	0	11	3	0	7	2	5	6	5	0	0	0	1	0	0	0	1	3	0	4	13	5	0	11	0	0	0	16	1	0	5	1	2	3	2	2	1	3	2	0	0	1
hsa-miR-29b-3p	8.67	4.83	5	2.5	7	1.5	12.33	9.5	4.5	7	6.5	5.83	0.5	2	0.5	1	0	1.5	1.5	0	0	0.5	19.5	9	4.5	3	9.5	3	1	1	15	1	4	1	1.5	4.5	5.5	4	4	3	8	14.17	11.33	3	2.5
hsa-miR-29c-3p	199.33	202.83	146.5	167	188.5	41	333.83	154.5	150	170	102	114.33	43	9	6	57	27	22	86	23	62	105	275	267	120	41	199	74	16	93	424.5	40	37	67	65	101	115.5	172	110.5	118	223.5	365.17	244.83	81	122.5
hsa-miR-29c-5p	10	3	1	2	18	2	4	8	5	6	2	5	0	0	1	3	0	2	0	2	0	0	1	2	6	0	6	4	0	0	10	2	0	0	0	6	3	6	3	3	6	4	5	2	2
hsa-miR-301a-3p	951	1039.5	646	650	979	170	759	855.5	550	1375	1026	883	90	154	26	544	161	89	389	249	422	475.5	726	2230	1221	179	1551	333	135	740	4648.5	148	202	811	851.5	601	528	668	651.5	432	996	1463	697	303	504.5
hsa-miR-301a-5p	0	1	2	0	1	0	0	6	2	3	0	0	0	0	2	2	0	0	3	0	0	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	1	0	2	0	0	0	0
hsa-miR-301b-3p	191	130.5	80	115	154	36	87	79.5	96	180	123	114	3	12	4	53	7	13	33	18	26	62.5	80	215	132	21	193	29	22	52	538.5	20	15	81	60.5	48	57	39	80.5	44	125	171	85	50	74.5
hsa-miR-301b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302a-5p	7	6	13	8	11	9	6	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	1	6	6	4	16	11	12
hsa-miR-3059-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3064-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3064-5p	10	7	3	2	13	2	3	4	1	2	11	13	0	0	0	0	1	0	0	0	0	0	0	3	8	0	32	0	1	4	8	0	0	0	0	0	4	1	5	5	4	9	2	2	0
hsa-miR-3065-3p	1	2	2	3	7	0	0	0	4	13	9	8	0	0	1	2	0	0	2	0	7	0	6	13	8	0	17	4	0	13	19	0	0	6	0	0	3	0	5	0	5	4	1	0	1
hsa-miR-3065-5p	19	17	4	4	27	6	9	2	5	2	2	8	0	1	1	1	0	0	0	1	0	7	0	20	5	2	12	0	0	7	11	1	0	3	0	2	4	5	8	3	13	11	5	0	5
hsa-miR-3074-3p	3	2	2	0	3	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	2	1	3	1	0
hsa-miR-3074-5p	9	7	8	15	7	2	3	6	3	14	10	4	0	0	2	2	0	2	1	0	0	10	0	16	6	0	16	0	0	0	15	0	2	0	5	0	2	7	8	3	4	6	1	2	5
hsa-miR-3085-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30a-3p	48	31.5	9	30	40	17	22	27	21	76	70	58	7	2	5	29	9	10	19	8	21.5	95	199	59	37	15	127	32	41	24	124.5	18	31	20	17	15	10	23.5	21	33	30	38.5	36	7	20
hsa-miR-30a-5p	808	738	246.5	587.5	572.5	135	422.5	581.5	423.5	1531	1591.5	863	469	203	90	661.5	355	268	562	165	435.5	2010.5	5948	768.5	473.5	562	1196	779	680	1994.5	2572.5	482.5	924	863.5	620.5	623.5	198.5	478	527	356	515.5	1152.5	820	285	384
hsa-miR-30b-3p	43	34	9	10	126	2	5	28	25	31	6	101	0	0	4	2	1	0	2	2	3	1	2	69	82	3	261	31	0	5	197	0	9	16	3	12	11	16	38	8	42	23	3	4	2
hsa-miR-30b-5p	3084.33	3656	1525.33	1934.33	3853	463	1997	2716	1510.33	1790	1847	1489	114	164	56	574.33	160	153	345	276	575.67	518.67	1857	2446	1565	203	3499	631	237.33	688	3919	209	226	719	740	646	1506.33	1565.33	2041	1305.67	2623	4187	1913.67	932	1498
hsa-miR-30c-1-3p	119	99	40	53	171	19	59	55	49	113	59	119	3	4	1	13	17	4	8	10	33	45	35	194	89	10	225	43	0	38	384	1	16	10	22	38	39	38	58	21	65	74	27	23	29
hsa-miR-30c-2-3p	15	12	2	8	5	4	7	6	8	10	9	9	1	3	1	2	3	4	3	0	3	2	43	4	10	1	14	7	3	19	16	4	6	0	7	1	4	6	6	10	4	7	16	0	5
hsa-miR-30c-5p	5302.83	4796.5	2143.83	2947.83	5482.5	594	2840	2553.5	2215.33	3512	3121	2711	204.5	271	106.5	957.33	311.5	218	768.5	476	1207.17	1246.17	2687	4671	3122.5	468	6233.5	1226	524.83	1294	8285	454.5	498.5	1285.5	1125.5	955	2050.33	2206.33	2972.5	1619.17	3906	6187.5	2345.17	1212	2029.5
hsa-miR-30d-3p	56	65	33	42	57	7	25	42.5	21	99	78	93	3	4	3	44	10	3	20	12	23	24	76	116	39	4	121	39	8	30	201	4	10	30	40	28	38	18	38	26	51	72.5	52	12	32
hsa-miR-30d-5p	22049	25868.5	7635.5	11952	24839	2531.5	14036	15436	8996.5	59718	34520.5	33379.5	4094.5	4365.5	1176	14400.5	3217.5	3676	8870	5750.5	11392	14782	29992.5	54727.5	35859	5280.5	61598.5	12162.5	3899	17933	102590.5	4017.5	6929	15267	16276.5	13673.5	10646	8759.5	13409	6563.5	15235.5	23439	11848.5	5722	8492
hsa-miR-30e-3p	685	698.5	219	397	858	110	485	416.5	306	956	638	962	50	91	46	193	62	51	160	120	355.5	194	583	1355	911	68	1915	269	108	330	2569.5	97	172	229	161	226	329	266.5	393	302	488	772	382	153	261
hsa-miR-30e-5p	13580	13278.5	4969	7820.5	8998.5	1502.5	11388.5	8946.5	6086	24745	14829	13746.5	1953.5	1631.5	560	6490	1662.5	1391	4551	2275.5	3941.5	7937.5	16076.5	26766	14438.5	2727.5	21388.5	5168.5	1830	10370.5	59903	2405	2828	9847.5	8704	8111	6265.5	5675.5	7632	3765.5	9872	17104.5	8973.5	3466	5415
hsa-miR-31-5p	4	0	2	0	5	0	1	4	5	0	1	0	0	1	0	1	0	2	0	2	0	0	40	6	0	0	8	2	0	4	1	0	1	2	4	6	5	6	3	2	2	5	2	3	4
hsa-miR-3115	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
hsa-miR-3116	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3117-3p	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3120-3p	41	37	18	23	51	3	25	7	21	66	42	47	1	4	2	10	0	1	18	12	19	25	25	103	52	15	76	22	0	13	256	9	9	17	10	13	14	27	39	7	33	63	38	13	18
hsa-miR-3120-5p	7	5	3.5	1	9	0	2	5	0	4	7	6	1	0	1	6	0	2	0	0	7	0	8	19	10	0	11	4	0	0	15	4	0	3	3	1	2	3	4	5	8	8	0	3	3
hsa-miR-3121-3p	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
hsa-miR-3122	2	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3123	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-3124-5p	2	2	0	0	2	0	0	0	7	1	3	0	1	0	0	0	0	0	0	0	0	0	2	2	3	0	6	0	0	3	7	0	0	0	0	0	1	1	0	0	0	1	2	0	0
hsa-miR-3125	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3127-3p	2	1	1	3	4	1	0	0	0	5	5	2	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	0	0	0	6	0	0	0	0	0	2	1	0	0	3	1	5	1	5
hsa-miR-3127-5p	10	7	5	1	8	1	12	3	10	11	2	27	2	0	0	3	0	1	0	3	2	1	15	19	34	1	47	1	0	2	36	3	0	11	0	1	4	2	2	4	7	8	0	5	0
hsa-miR-3128	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3129-3p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0
hsa-miR-3129-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-3130-3p	3.5	0	4	0	1	0	2	1	1.5	0.5	0	0	0.5	0	0	3	0	0.5	4	1	0	0	0	11	2	0	0.5	0	0	0	0	0	0	0	5	0	0.5	0	0.5	0	4	0	0	0	0
hsa-miR-3130-5p	1	0	0.5	0	2	0	1	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	4	1.5	3	0	0	2	0	2	0	0	0	0	2	0	0.5	2.5	1.5	1	0.5	0	0	0
hsa-miR-3131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3134	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3135a	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0	0
hsa-miR-3136-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3136-5p	2	0	0	0	1	0	3	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	7	3	0	0	1	0	0	0	0	0	0	0	0	3	2	0	1	0	1	0	0	0	0
hsa-miR-3138	32	36	10	22	43	7	16	25	29	36	22	78	6	3	0	12	0	4	0	2	21	2	5	50	65	3	138	11	1	5	119	6	4	10	19	7	21	20	40	10	23	23	15	6	7
hsa-miR-3139	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	2	0	0	0	0	0	2	0	7	0	1	0	0	0	2	0	0	0	0
hsa-miR-3140-3p	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0
hsa-miR-3141	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1
hsa-miR-3142	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3143	2	6	2	12	0	1	13	4	2	2	2	5	1	0	0	0	1	0	0	0	2	9	0	3	2	0	10	0	7	0	5	1	0	0	0	0	1	2	6	4	4	6	7	4	0
hsa-miR-3144-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3146	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2
hsa-miR-3147	0	1	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3149	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150a-3p	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-3150a-5p	2	3	0	3	5	0	0	1	0	6	0	4	0	0	0	0	0	0	0	1	0	4	0	5	0	1	9	5	0	0	8	1	0	0	2	4	3	0	0	4	1	5	0	1	0
hsa-miR-3150b-3p	3	0	1	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	9	0	3	5	0	0	0	0	9	0	1	0	0	0	2	1	0	2
hsa-miR-3150b-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3151-5p	1	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3152-5p	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3154	1	2	1	3	10	1	2	2	7	3	0	13	0	4	0	0	0	0	0	0	0	0	1	1	1	0	13	0	0	0	3	0	0	6	0	0	3	3	2	2	1	4	0	0	2
hsa-miR-3155a	0	4	0	2	2	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	5	5	1	0	1	4	0	0	0	0	2.5	5	0	0	1	0	2	0	1	3	0
hsa-miR-3155b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1	0	0	0	0	0	0	0	0	0
hsa-miR-3157-3p	4	3	0	0	3	0	2	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	7	8	10	0	0	0	0	0	6	0	0	0	3	0	0	0	3	2	0	4	2	0	0
hsa-miR-3157-5p	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	4	0	0
hsa-miR-3158-3p	11	13	6.5	3.5	11.5	4	14.5	4	7.5	18.5	14	9.5	3.5	1	0	5	1.5	7.5	0	2	3.5	12.5	16	29.5	18	2.5	24	0	5.5	11	53.5	1.5	6.5	2.5	4.5	10.5	5.5	10	9	7	6.5	8.5	9.5	3.5	7
hsa-miR-3158-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
